x,y,targets,working,block_set,p_value,true_edge
Soil.Fe,Grain.As,Soil.P+Straw.P+Straw.S+,True,Lattitude-Longitude-Season.planted-Grain.P-Grain.S-Grain.Mn-Grain.Fe-Grain.Cu-Straw.As-Straw.Al-Straw.Mn-Straw.Fe-Soil.As-Soil.Al-Soil.S-Soil.Mn-Soil.pH-Soil.SOM-Soil.Clay-Humidity-Potential.Evaporation-Rainfall-Temperature-CO2_average-,0.06404772658015205,False
Lattitude,Grain.As,Soil.P+Straw.P+Straw.S+,True,Longitude-Season.planted-Grain.P-Grain.S-Grain.Mn-Grain.Fe-Grain.Cu-Straw.As-Straw.Al-Straw.Mn-Straw.Fe-Soil.As-Soil.Al-Soil.S-Soil.Mn-Soil.Fe-Soil.pH-Soil.SOM-Soil.Clay-Humidity-Potential.Evaporation-Rainfall-Temperature-CO2_average-,0.11312892787982436,False
CO2_average,Grain.As,Straw.Fe+Straw.S+,True,Lattitude-Longitude-Season.planted-Grain.P-Grain.S-Grain.Mn-Grain.Fe-Grain.Cu-Straw.As-Straw.Al-Straw.P-Straw.Mn-Soil.As-Soil.Al-Soil.P-Soil.S-Soil.Mn-Soil.Fe-Soil.pH-Soil.SOM-Soil.Clay-Humidity-Potential.Evaporation-Rainfall-Temperature-,0.0005878515717985255,True
CO2_average,Grain.As,Straw.S+,True,Lattitude-Longitude-Season.planted-Grain.P-Grain.S-Grain.Mn-Grain.Fe-Grain.Cu-Straw.As-Straw.Al-Straw.P-Straw.Mn-Straw.Fe-Soil.As-Soil.Al-Soil.P-Soil.S-Soil.Mn-Soil.Fe-Soil.pH-Soil.SOM-Soil.Clay-Humidity-Potential.Evaporation-Rainfall-Temperature-,0.00779462855420517,True
CO2_average,Grain.As,Season.planted+,True,Lattitude-Longitude-Grain.P-Grain.S-Grain.Mn-Grain.Fe-Grain.Cu-Straw.As-Straw.Al-Straw.P-Straw.S-Straw.Mn-Straw.Fe-Soil.As-Soil.Al-Soil.P-Soil.S-Soil.Mn-Soil.Fe-Soil.pH-Soil.SOM-Soil.Clay-Humidity-Potential.Evaporation-Rainfall-Temperature-,0.021662399956148826,True
Potential.Evaporation,Grain.As,Season.planted+,True,Lattitude-Longitude-Grain.P-Grain.S-Grain.Mn-Grain.Fe-Grain.Cu-Straw.As-Straw.Al-Straw.P-Straw.S-Straw.Mn-Straw.Fe-Soil.As-Soil.Al-Soil.P-Soil.S-Soil.Mn-Soil.Fe-Soil.pH-Soil.SOM-Soil.Clay-Humidity-Rainfall-Temperature-CO2_average-,0.1244908575079382,False
Potential.Evaporation,Grain.As,Humidity+Season.planted+,True,Lattitude-Longitude-Grain.P-Grain.S-Grain.Mn-Grain.Fe-Grain.Cu-Straw.As-Straw.Al-Straw.P-Straw.S-Straw.Mn-Straw.Fe-Soil.As-Soil.Al-Soil.P-Soil.S-Soil.Mn-Soil.Fe-Soil.pH-Soil.SOM-Soil.Clay-Rainfall-Temperature-CO2_average-,0.07135908386408751,False
Lattitude,Grain.As,Humidity+Season.planted+,True,Longitude-Grain.P-Grain.S-Grain.Mn-Grain.Fe-Grain.Cu-Straw.As-Straw.Al-Straw.P-Straw.S-Straw.Mn-Straw.Fe-Soil.As-Soil.Al-Soil.P-Soil.S-Soil.Mn-Soil.Fe-Soil.pH-Soil.SOM-Soil.Clay-Potential.Evaporation-Rainfall-Temperature-CO2_average-,0.28655403240463057,False
CO2_average,Grain.As,Straw.S+,True,Lattitude-Longitude-Season.planted-Grain.P-Grain.S-Grain.Mn-Grain.Fe-Grain.Cu-Straw.As-Straw.Al-Straw.P-Straw.Mn-Straw.Fe-Soil.As-Soil.Al-Soil.P-Soil.S-Soil.Mn-Soil.Fe-Soil.pH-Soil.SOM-Soil.Clay-Humidity-Potential.Evaporation-Rainfall-Temperature-,0.00779462855420517,True
CO2_average,Grain.As,Straw.S+,True,Lattitude-Longitude-Season.planted-Grain.P-Grain.S-Grain.Mn-Grain.Fe-Grain.Cu-Straw.As-Straw.Al-Straw.P-Straw.Mn-Straw.Fe-Soil.As-Soil.Al-Soil.P-Soil.S-Soil.Mn-Soil.Fe-Soil.pH-Soil.SOM-Soil.Clay-Humidity-Potential.Evaporation-Rainfall-Temperature-,0.00779462855420517,True
CO2_average,Grain.As,Straw.S+,True,Lattitude-Longitude-Season.planted-Grain.P-Grain.S-Grain.Mn-Grain.Fe-Grain.Cu-Straw.As-Straw.Al-Straw.P-Straw.Mn-Straw.Fe-Soil.As-Soil.Al-Soil.P-Soil.S-Soil.Mn-Soil.Fe-Soil.pH-Soil.SOM-Soil.Clay-Humidity-Potential.Evaporation-Rainfall-Temperature-,0.00779462855420517,True
CO2_average,Grain.As,Straw.S+,True,Lattitude-Longitude-Season.planted-Grain.P-Grain.S-Grain.Mn-Grain.Fe-Grain.Cu-Straw.As-Straw.Al-Straw.P-Straw.Mn-Straw.Fe-Soil.As-Soil.Al-Soil.P-Soil.S-Soil.Mn-Soil.Fe-Soil.pH-Soil.SOM-Soil.Clay-Humidity-Potential.Evaporation-Rainfall-Temperature-,0.00779462855420517,True
