Sample.ID,Lat,Long,Cropping.Season,Region,CO2,Humidity,PEV,Rainfall,Temp,Grain.As,Grain.Se,Grain.P,Grain.S,Grain.Mn,Grain.Fe,Grain.Cu,Straw.As,Straw.Se,Straw.Al,Straw.P,Straw.S,Straw.Mn,Straw.Fe,Straw.Cu,Soil.As,Soil.Se,Soil.Al,Soil.P,Soil.S,Soil.Mn,Soil.Fe,Soil.Cu,Soil.pH,Soil.Clay,SOM
23VINIF_28_#1,9.881227,105.600235,Winter season,South,418.945,83.20687147,5.745484179,4.86265793,27.20656377,0.226459893,0.04136879,2976.083424,1009.757544,20.3659922,5.938759672,1.623259605,0.341006354,0.024638083,461.9249947,1364.778827,1937.013022,991.9735125,421.1564022,1.151153379,7.92,7.19,94267.73,277.04,2213.79,299.19,22923.87,19.21,3.49,63.8,13.65
23VINIF_29_#1,10.466609,106.20988,Winter season,South,418.945,80.931488,6.882568956,4.594759668,27.36671961,0.28914526,,3636.969789,1198.005001,20.23436671,,3.401139706,0.307853217,0.024604502,85.30212446,1425.138721,2190.2489,722.9963359,270.7184359,2.156271622,7.82,7.14,92526.63,542.47,4042.08,132.54,26655.61,16.69,3.3,29.7970203,15.21
23VINIF_30_#1,10.4899,106.12534,Winter season,South,418.945,80.931488,6.882568956,4.594759668,27.36671961,0.102754228,0.048761916,3356.290629,986.8628272,20.66549883,148.9690657,2.803664317,0.210848473,0.093827535,176.6511899,853.6969612,1788.165598,640.1355977,234.6729571,2.179780264,9.51,7.77,94194.96,328.18,5123.27,217.8,43351.81,13.80,3.37,62.17512995,12.22
23VINIF_31_#1,10.823559,105.929372,Winter season,South,418.945,80.35614684,6.869092564,4.57132469,27.25951475,0.163939383,0.129922186,2980.942733,999.9301433,15.6646713,6.730528043,3.022522164,0.493927959,0.024571848,88.49550349,962.7498839,1700.008809,798.2281544,123.5917449,2.446122914,5.74,7.09,85776.71,377.63,1954.47,68.28,14833.14,20.26,3.82,33.19004299,7.28
23VINIF_32_#1,10.928428,105.721996,Winter season,South,418.945,81.1738271,6.587919975,4.509557083,27.07709187,0.102254037,0.046392682,2890.328266,1082.909501,20.03631725,24.99571118,3.275142893,0.638225996,0.007336291,82.65658059,1957.260209,1899.908965,879.9879708,136.8534725,4.328053736,2.3,3.24,30932.26,318.73,742.66,36.71,6122.65,5.89,3.89,12.73617915,3.9
23VINIF_33_#1,10.807032,105.404947,Winter season,South,418.945,80.35614684,6.869092564,4.57132469,27.25951475,0.281261173,0.037759541,3129.102148,1161.113016,18.1298548,15.73385091,2.596342107,1.299258404,0.162784667,387.2448626,1211.318457,1730.338016,984.3981752,266.4669844,2.382881584,20.33,7.08,96619.7,539.26,2390.6,155.91,40354.41,29.51,3.76,38.772859,17.29
23VINIF_34_#1,10.638254,105.405985,Winter season,South,418.945,81.1984394,6.184638219,4.47334423,27.38395747,0.337068906,,3117.574283,1136.461717,14.28733567,11.35456715,1.191376744,3.568583255,0.041957194,123.0302215,1959.225961,1195.591674,305.2104422,119.7155434,2.325516377,13.16,5.97,81722.71,486.85,464.27,206.47,31375.87,24.75,4.65,32.64041575,11.96
23VINIF_35_#1,10.59666,105.506591,Winter season,South,418.945,80.25838454,6.182160698,4.54217905,27.40459787,0.189506137,,3083.2148,1171.704741,13.92563405,20.77739492,1.749153437,1.68378463,,140.0603284,1608.466896,1315.380942,584.8363115,180.1543073,3.112028495,9.24,6.16,81924.31,384.05,652.78,202.46,31743.02,21.04,4.58,30.69693031,7.67
23VINIF_36_#1,10.508999,105.659648,Winter season,South,418.945,80.25838454,6.182160698,4.54217905,27.40459787,0.166802138,,3000.923452,1126.631684,12.1562067,15.63403102,1.499426215,1.534377737,0.024612679,120.8417915,1509.534935,1378.726379,512.6624422,121.0270091,1.380320404,7.9,6.25,96790.54,278.12,1667.06,161.46,30127.84,18.00,4.31,33.99660034,7.41
23VINIF_37_#1,10.38371,105.646797,Winter season,South,418.945,81.8730437,6.556697159,4.612492761,27.3067769,0.1519338,,3203.328981,1249.261771,22.95317749,10.76662096,2.135347007,1.310569891,0.059114737,225.7766425,1177.913749,1995.505345,776.8098243,399.9693661,2.759679465,12.62,7.02,113755.07,455.27,2607.29,160.14,36540.89,33.60,4,32.44702119,17.68
23VINIF_38_#1,10.336531,105.606902,Winter season,South,418.945,81.8730437,6.556697159,4.612492761,27.3067769,0.276956694,0.046293989,3589.302765,1077.976492,13.65753601,19.90077377,2.188518189,3.41565266,0.093796311,508.2223638,1317.17225,1018.273936,621.9927395,503.1012967,1.381502387,8.36,6.96,115102.5,369.93,1980.31,146.53,28233,20.94,3.8,34.82865421,12.09
23VINIF_39_#1,10.380254,105.147666,Winter season,South,418.945,81.8730437,6.556697159,4.612492761,27.3067769,0.182293837,,3599.640303,1375.395093,19.92223995,14.44301144,3.591094373,0.833145704,,264.8325536,1677.308697,1334.069447,731.2818019,191.3098493,6.910823782,6.78,8.39,91387.57,353.71,2008.44,169.97,22075.96,20.55,3.65,34.58962311,12.09
23VINIF_40_#1,10.37182,105.154379,Winter season,South,418.945,81.8730437,6.556697159,4.612492761,27.3067769,0.164724979,0.02143047,2914.283335,949.0730922,19.24080563,15.69029354,2.340029075,0.781077171,0.076598888,572.8249901,1481.109332,1194.844183,646.2920616,402.0685054,3.495010197,7.73,7.51,84983.15,410.22,1822.78,200.65,28161.45,20.66,4.07,29.6770323,14.56
23VINIF_41_#1,10.424181,105.007938,Winter season,South,418.945,80.931488,6.882568956,4.594759668,27.36671961,0.14924961,0.021053025,3335.175518,950.8328346,17.47060629,5.277978868,2.616610408,0.403371944,0.093811973,109.4943195,1463.094427,1963.239673,912.412157,115.2860607,3.276931658,7.49,9.79,107651.07,421.25,2328.83,106.17,25608.18,30.56,3.51,72.75634619,11.05
23VINIF_42_#1,10.475737,105.021459,Winter season,South,418.945,80.931488,6.882568956,4.594759668,27.36671961,0.111951951,,3073.84573,898.0731435,20.50373583,13.23064923,0.905818229,0.797366224,0.007371425,240.631862,1447.71319,1076.745487,601.3304983,356.8462966,2.700782786,0.42,1.22,8829,77.64,856.78,64.89,2792.03,3.12,4.85,7.037185126,4.94
23VINIF_43_#1,10.614306,105.020458,Winter season,South,418.945,81.1984394,6.184638219,4.47334423,27.38395747,0.225093269,0.080326845,3001.727842,938.2968801,17.08495179,50.61883101,2.110883153,0.365528672,0.041941627,198.2807389,2573.960356,863.9292495,771.5714305,184.2404351,1.619801011,0.39,1.47,8176.38,114.05,857.51,124.47,2648.55,2.01,4.75,4.799520048,3.64
23VINIF_44_#1,10.65405,105.050185,Winter season,South,418.945,81.1984394,6.184638219,4.47334423,27.38395747,0.258139197,,3109.59213,1103.653092,10.99936442,23.02882145,1.742255366,0.649915583,0.007361613,109.7356069,1150.747751,1520.069392,434.2743295,159.4090333,2.186042249,11.33,6.45,93452.13,561.56,2804.44,101.34,30231.81,21.07,3.85,50.77461269,10.53
23VINIF_45_#1,9.903776,105.151026,Winter season,South,418.945,83.20180274,5.571841313,4.674153484,27.21554848,0.290150287,0.046392682,3162.886994,1142.861513,11.17803581,23.65718685,1.76936457,1.555588226,0.041971171,223.8977614,1290.201016,1554.011824,332.7521152,613.5566624,1.616970681,9.22,6.68,61262.05,350.26,2093.84,121.24,24086.07,14.07,3.55,29.29121264,8.84
23VINIF_46_#1,9.959235,105.157183,Winter season,South,418.945,83.20180274,5.571841313,4.674153484,27.21554848,0.116251787,0.037833579,3190.558693,1042.537791,14.30529062,,6.086441261,0.505394422,0.041971171,211.4067417,1588.053635,2727.136991,523.9524913,406.9515714,2.557124974,5.6,6.19,62534.74,165.12,1697.97,95.39,16174.79,10.61,3.4,15.40921355,6.89
23VINIF_47_#1,10.04263,105.22736,Winter season,South,418.945,83.31516631,6.0521655,4.608869553,27.20406756,0.201839777,0.037685792,3040.804704,968.359721,11.85616034,17.4848752,1.12566598,1.159389449,0.041873531,365.4904081,1537.77914,966.1289488,378.6383874,218.2388938,1.161399969,6.39,6.28,76891.54,341.15,1749.05,189.01,26083.82,15.91,3.41,36.58536585,10.14
23VINIF_48_#1,10.094896,105.280481,Winter season,South,418.945,83.31516631,6.0521655,4.608869553,27.20406756,0.181225709,0.087722458,2974.209136,975.7315149,25.73181731,0.500794505,2.447226919,0.539492862,0.163148794,233.6654492,1354.860658,1540.633854,2157.935743,167.3332158,2.367740657,7.03,6.2,92156.53,256.57,1986.43,250.07,25917.32,16.40,3.61,40.57971014,10.01
23VINIF_49_#1,10.189698,105.382561,Winter season,South,418.945,83.14692891,6.311757255,4.598695314,27.20639121,0.118312086,,3214.08602,1113.168531,22.36902318,0.958866674,3.017905016,0.453081077,0.024629049,428.180737,1041.071826,1670.05144,1614.673869,237.3431278,2.877218451,5.45,6.34,78405.07,285.95,1739.51,174.93,21678.97,15.53,3.54,35.10595762,13.39
23VINIF_50_#1,10.090426,105.424551,Winter season,South,418.945,83.31516631,6.0521655,4.608869553,27.20406756,0.16224093,0.043416565,2790.997071,872.3893419,20.21173271,,1.544194403,0.532465093,0.024604502,224.2353076,1354.481708,867.3286746,651.4169633,175.3465361,1.987727662,5.09,8.3,86789.47,275.95,2125.07,324.46,23029.16,14.69,3.8,38.71612839,8.71
23VINIF_51_#1,10.066757,105.540096,Winter season,South,418.945,83.31516631,6.0521655,4.608869553,27.20406756,0.21643406,0.043840036,2740.044515,871.5074054,16.67895807,,1.549392053,0.703947902,0.024686517,170.8843215,1524.376968,1044.670521,873.0707876,188.6118022,1.394018523,4.68,6.35,86985.17,300.77,1618.23,351.7,24937.08,14.36,4.12,36.98150925,8.97
23VINIF_52_#1,10.073931,105.658261,Winter season,South,418.945,83.31516631,6.0521655,4.608869553,27.20406756,0.26886043,,2599.270125,782.6362849,17.59424419,3.669644771,1.768045481,0.815827636,0.076547873,267.4872308,1608.161954,1155.471823,995.5868511,257.1651246,3.442167336,6.33,5.79,80003.61,234.07,1917.45,254.4,22526.9,16.38,3.71,31.68415792,12.09
,,,,,420.1775,,,,,0.384933058,,2593.243328,815.5586064,8.201565598,0.969402332,0.688456898,,,,,,,,,4.22,4.38,36755.64,170.65,1961.57,182.7,18849.98,11.33,3.52,,
23VINIF_54_#1,15.713339,108.448692,Winter season,South Central ,420.1775,83.03292405,4.670843123,4.753297839,25.8027906,0.279698502,0.059716624,2802.424701,925.0230288,12.08264251,,2.319705232,7.341677163,0.197514837,73.63163196,2114.781036,1289.597731,251.820287,385.7564785,0.998851078,4.52,5.51,29438.79,316.17,1573.59,63.98,12149.35,6.79,3.77,10.73248726,4.485
23VINIF_55_#1,15.531749,108.588907,Winter season,South Central ,420.1775,83.85520155,4.72637776,5.4525804,25.85335168,0.560274061,0.027788863,2892.893718,817.1374245,12.21422688,,0.707385083,1.519656847,0.024621691,64.7142927,2000.570566,1587.406916,291.0475484,433.8449211,2.006782549,2.65,4.99,33210.23,425.89,1903.07,151.71,15380.16,12.33,3.52,10.15695291,6.24
23VINIF_56_#1,15.614345,108.448861,Winter season,South Central ,420.1775,83.21356969,4.723526418,4.695337011,26.0468412,0.219081667,0.068550803,2226.897659,690.3729801,27.10815009,,1.810009498,0.667755293,0.007348501,194.6227467,564.3674589,690.9555409,1201.588859,375.9273306,1.422593291,2.74,3.11,42311.6,161.29,1282.97,554.1,31429.3,31.40,4.27,15.20935345,4.095
23VINIF_57_#1,15.741377,108.367623,Winter season,South Central ,420.1775,83.03292405,4.670843123,4.753297839,25.8027906,0.233704469,0.036073176,2887.931352,804.436241,19.12659631,,0.731532534,0.772157082,0.301333641,72.84391427,1544.082374,666.3007556,572.6032944,288.6616046,0.676682271,1.65,6.56,50985.15,219.71,1312.88,188.47,16085.27,8.00,4.25,18.05458362,6.63
23VINIF_58_#1,15.888889,108.266947,Winter season,South Central ,420.1775,83.88629769,4.582518197,4.995346517,25.90734532,0.318978455,0.068413975,2413.704607,840.7739805,22.26239175,,2.646099308,1.100560537,0.041901382,90.206435,478.1121044,600.9275607,920.0554119,150.1109411,2.27199048,9.79,9.6,86368.4,290.33,1319.68,325.05,42217.6,24.41,3.89,19.39418175,7.41
23VINIF_59_#1,16.720269,107.305999,Winter season,North Central ,420.1775,86.05816931,5.457551829,4.698243515,26.13800779,0.380240508,0.035929458,2876.540361,885.7371106,18.88825512,,1.817420859,2.713682571,0.076624421,159.4709724,1183.699553,740.5252072,810.5722559,332.3930044,13.52004818,9.7,9.56,85940.96,283.67,1340.25,322.48,41509.99,24.27,4.16,14.62975917,9.36
23VINIF_60_#1,16.688945,107.400473,Winter season,North Central ,420.1775,86.38745872,5.063717556,5.629081343,25.78195497,0.203138099,0.044102551,3197.122324,921.0713182,16.16714285,,1.13620149,0.35338696,,114.1810582,1868.485295,727.8376074,479.3941509,416.7164607,1.392136238,,,,,,,,,4.02,6.976511744,18.135
23VINIF_61_#1,16.649486,107.47738,Winter season,North Central ,420.1775,86.38745872,5.063717556,5.629081343,25.78195497,0.239101822,0.027733726,2881.804033,974.7524733,17.88670275,,1.631297558,0.415851568,0.059272271,71.58854376,1457.156899,933.6624893,576.6522302,255.6757357,1.16273351,3.03,7.52,50545.86,378.86,2154.93,107.35,12102.83,13.49,3.83,4.499550045,8.19
23VINIF_62_#1,16.587678,107.586524,Winter season,North Central ,420.1775,86.25817104,5.314153659,6.316585552,25.46104676,0.235035262,0.0277816,3474.243256,1116.361547,13.65018032,,1.800742767,0.985738396,0.093765108,91.74288742,1784.383487,1627.448617,143.8519233,300.1336227,1.197668837,1.39,3.03,13493.77,240.93,1587.96,60.83,4075.12,4.25,3.71,4.077553468,3.12
23VINIF_63_#1,16.479074,107.624697,Winter season,North Central ,420.1775,85.59757091,6.053607894,6.309922467,25.44953766,0.314978138,0.027788863,2886.3097,976.2957359,23.43840961,,1.890367059,2.560032659,0.059213098,110.2473222,1252.551279,850.2726723,878.7972827,354.5859088,1.508909479,1.12,3.07,9718.93,88.22,1209.57,101.29,4994.45,3.22,3.79,9.919008099,9.165
23VINIF_64_#1,16.36799,107.732381,Winter season,North Central ,420.1775,83.80575528,5.07583756,5.692346602,25.82544518,0.205379301,0.118797661,2536.753105,760.8285591,23.57124433,,2.087555917,0.789522498,,155.031295,1049.631063,1392.112064,993.6122574,234.5144217,2.749866069,10.77,9.81,74213.92,409.44,1585.21,261.63,37510.96,21.50,3.86,8.32,14.43
23VINIF_65_#1,16.275655,108.017398,Winter season,North Central ,420.1775,87.20489091,4.729389345,6.784015154,25.16463545,0.209458011,0.037108979,2894.504222,846.3880718,24.98470622,,1.052636139,0.364171545,0.07656344,130.1611629,1082.072779,753.6622582,779.5286689,409.1120624,0.823513345,7.29,9.51,87175.73,563.71,2145.71,189.73,30905.01,19.12,3.65,4.279572043,5.265
23VINIF_66_#1,16.277175,107.938735,Winter season,North Central ,420.1775,87.20489091,4.729389345,6.784015154,25.16463545,0.094182172,0.012465745,2589.620773,837.9756512,11.0876642,,0.822786513,0.410694865,0.007358299,70.29221753,1780.633745,1516.427108,443.8527891,359.5124742,0.847896098,1.54,3.09,21167.39,236.66,1431.58,52.34,5348.89,3.78,3.97,5.256320576,7.41
23VINIF_67_#1,16.271691,107.872284,Winter season,North Central ,420.1775,87.20489091,4.729389345,6.784015154,25.16463545,0.294568953,0.120687087,2696.05852,837.0053032,22.39529161,3.225777626,5.786612602,0.474278428,0.093640503,174.1676648,1428.629477,1204.339023,1321.138393,371.749059,3.371339166,2.65,5.85,36772.48,323.3,1294.01,123.09,12502.51,6.09,3.79,5.938812238,6.435
23VINIF_68_#1,16.33307,107.760293,Winter season,North Central ,420.1775,83.80575528,5.07583756,5.692346602,25.82544518,0.295522752,0.086683057,2913.824184,928.6803412,11.59104878,,1.530173706,1.324008955,0.111228197,208.3666953,1684.560496,812.0443867,384.9971915,277.97303,1.215782841,5.55,6.89,64983.07,446.25,2079.91,146.56,18980.94,13.82,3.8,13.59728054,14.235
23VINIF_69_#1,16.419909,107.568311,Winter season,North Central ,420.1775,85.59757091,6.053607894,6.309922467,25.44953766,0.355124009,0.045549769,3304.610392,1203.359966,16.63831626,7.695080039,1.16946231,3.990745704,0.024620861,145.049578,1770.174691,1174.348778,620.4641103,579.7352485,1.370298714,9.95,9.92,80831.15,535.26,1484.31,289.13,40644.45,20.20,3.86,10.07596961,5.85
23VINIF_70_#1,16.499571,107.528553,Winter season,North Central ,420.1775,85.59757091,6.053607894,6.309922467,25.44953766,0.308404294,0.237749966,3230.294431,907.9903625,16.35184616,,1.264162045,1.908520399,0.21487017,152.7700313,1118.576536,1225.260891,342.8900887,236.1148646,1.410617041,8.08,7.83,68627.37,268.07,1607.91,137.74,25772.73,13.94,3.9,23.07307808,4.485
23VINIF_71_#1,16.505578,107.493438,Winter season,North Central ,420.1775,86.25817104,5.314153659,6.316585552,25.46104676,0.228017223,0.062275667,3089.511391,827.1059138,15.33996296,3.921588107,1.933204218,1.018262733,,83.53980411,1518.21418,979.1860702,391.4156051,217.1542106,1.529298937,2.71,3.03,33439.63,280.57,1308.16,90.84,10761.38,7.87,3.94,11.13888611,4.68
